i,09/05/2018 16:50:27,Cosmos,g_pCosmosConfig is NULL,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsDefaultThreadPoolEx_CreateCb" SrcLine="1690" Pid="4844" Tid="4388" TS="0x01D445388C356CF4" String1="Using default value 100 for param DefaultThreadPoolTimerQueueDepthLogThreshold"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388D12A7FE" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8460 Latency=0 StartedAt=131806398287882238 FinishedAt=131806398287882238"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5500" TS="0x01D445388D12A7FE" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7B60 Latency=0 StartedAt=131806398287882238 FinishedAt=131806398287882238"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388D12A7FE" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7FE0 Latency=0 StartedAt=131806398287882238 FinishedAt=131806398287882238"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388D12CD58" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7B60 Latency=0 StartedAt=131806398287891800 FinishedAt=131806398287891800"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5500" TS="0x01D445388D12CD58" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7B60 Latency=0 StartedAt=131806398287891800 FinishedAt=131806398287891800"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388D13434B" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398287921995 FinishedAt=131806398287921995"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388D139244" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398287942212 FinishedAt=131806398287942212"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5500" TS="0x01D445388D13E04C" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398287962188 FinishedAt=131806398287962188"
d,09/05/2018 16:50:28,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388D140622" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8460 Latency=0 StartedAt=131806398287971874 FinishedAt=131806398287971874"
d,09/05/2018 16:50:29,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388D4020C4" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD7B60 Latency=0 StartedAt=131806398290862276 FinishedAt=131806398290862276"
d,09/05/2018 16:50:29,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5500" TS="0x01D445388D4A0BA2" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398291512226 FinishedAt=131806398291512226"
d,09/05/2018 16:50:29,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5992" TS="0x01D445388D4CA20D" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398291681805 FinishedAt=131806398291681805"
d,09/05/2018 16:50:29,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="4956" TS="0x01D445388D4D6536" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8100 Latency=0 StartedAt=131806398291731766 FinishedAt=131806398291731766"
d,09/05/2018 16:50:29,CommonDebug,ThreadPoolJobFinish,SrcFile="CsThreadPoolEx.cpp" SrcFunc="CsThreadPoolEx::InvokeCallback" SrcLine="740" Pid="4844" Tid="5500" TS="0x01D445388D4DB34E" String1="pThreadPool=0000018EA7FDE810 Class=class AsyncCallbackJob Instance=0000018EA7FD8460 Latency=0 StartedAt=131806398291751758 FinishedAt=131806398291751758"
